ProjectID,StartDate,EndDate,DurationDays,Budget,TeamSize,ComplexityLevel,ManagerExperienceYears,ClientSatisfaction,QualityScore,Delayed,Success
1,2021-09-17,2022-01-05,110,112417.85,18,4,15,7,0.679,0,1
2,2018-10-31,2019-09-15,319,72203.0,13,3,1,9,0.748,1,1
3,2020-01-30,2020-10-10,254,139480.32,12,4,13,8,0.815,1,1
4,2022-01-29,2022-06-26,148,85478.05,19,2,4,10,0.621,0,1
5,2019-04-09,2019-08-22,135,106049.06,16,1,9,6,0.413,0,1
6,2020-07-25,2021-07-25,365,120411.13,17,1,14,3,0.471,1,1
7,2022-04-29,2022-08-03,96,77299.4,10,5,5,7,0.488,0,1
8,2018-06-21,2018-10-06,107,84263.13,20,4,6,8,0.79,0,1
9,2020-09-17,2021-04-30,225,86390.43,13,2,7,9,0.717,1,1
10,2021-06-21,2021-08-23,63,84993.65,18,1,12,5,0.842,0,1
11,2019-09-06,2019-11-15,70,84957.33,14,2,13,10,0.978,0,1
12,2018-04-24,2018-07-25,92,86658.78,8,5,5,7,0.699,0,0
13,2018-02-10,2018-12-23,316,120563.62,11,5,4,8,0.517,1,1
14,2020-06-15,2021-02-23,253,169457.83,8,4,11,4,0.879,1,1
15,2021-04-23,2021-07-06,74,118461.66,14,3,13,4,0.726,0,1
16,2021-08-23,2021-12-20,119,74772.87,3,2,12,5,0.463,0,1
17,2019-11-26,2020-04-27,153,88484.03,14,5,11,6,0.859,0,1
18,2019-05-07,2019-07-22,76,71736.19,8,4,7,4,0.72,0,0
19,2022-09-23,2023-05-07,226,83076.95,6,1,10,9,0.792,1,1
20,2022-07-27,2023-03-17,233,114553.07,11,4,14,5,0.833,1,1
21,2019-11-04,2019-12-30,56,79019.56,7,4,1,8,0.654,0,0
22,2019-07-22,2019-11-25,126,62296.17,16,4,12,6,0.865,0,1
23,2021-02-10,2021-06-25,135,72341.63,13,1,3,4,0.521,0,0
24,2021-02-16,2021-05-17,90,120869.89,12,3,2,6,0.744,0,1
25,2020-01-01,2020-08-30,242,109040.9,17,5,1,5,0.603,1,0
26,2022-12-11,2023-09-05,268,137385.86,4,1,11,9,0.751,1,1
27,2020-09-08,2021-08-21,347,34506.37,11,2,3,8,0.823,1,1
28,2021-04-14,2022-01-20,281,64531.24,10,1,10,10,0.856,1,1
29,2022-01-25,2022-12-10,319,94508.2,15,5,13,10,0.754,1,1
30,2019-06-05,2020-05-18,348,80268.54,5,1,10,7,0.812,1,1
31,2022-04-24,2023-03-06,316,79787.66,10,4,10,6,0.625,1,0
